n_estimators	max_features	max_depth	min_sample_leaf	r2
100	sqrt		1	-0.004098324004069065
100	sqrt		4	0.04765593741310259
100	sqrt	10.0	1	0.055239625480237975
100	sqrt	10.0	4	0.05717465971572688
100	sqrt	20.0	1	0.024438500434399657
100	sqrt	20.0	4	0.04958180848002436
100	log2		1	-0.004098324004069065
100	log2		4	0.04765593741310259
100	log2	10.0	1	0.055239625480237975
100	log2	10.0	4	0.05717465971572688
100	log2	20.0	1	0.024438500434399657
100	log2	20.0	4	0.04958180848002436
100			1	-0.01163936595460946
100			4	0.03124915178062926
100		10.0	1	0.05011462941315992
100		10.0	4	0.05264453211793574
100		20.0	1	0.018490901004047045
100		20.0	4	0.03891367196583828
200	sqrt		1	0.008730545430546521
200	sqrt		4	0.054323194031657196
200	sqrt	10.0	1	0.05832865462019776
200	sqrt	10.0	4	0.06005655810323729
200	sqrt	20.0	1	0.03814243570321674
200	sqrt	20.0	4	0.05602499710222186
200	log2		1	0.008730545430546521
200	log2		4	0.054323194031657196
200	log2	10.0	1	0.05832865462019776
200	log2	10.0	4	0.06005655810323729
200	log2	20.0	1	0.03814243570321674
200	log2	20.0	4	0.05602499710222186
200			1	0.0013156455789171684
200			4	0.04310988662775683
200		10.0	1	0.05436396703310398
200		10.0	4	0.05704364024662478
200		20.0	1	0.031105194121025415
200		20.0	4	0.050501572848076104
500	sqrt		1	0.01447769827757961
500	sqrt		4	0.05844062742679368
500	sqrt	10.0	1	0.05973373362023815
500	sqrt	10.0	4	0.06050908405245736
500	sqrt	20.0	1	0.04166683706282859
500	sqrt	20.0	4	0.0602489000033396
500	log2		1	0.01447769827757961
500	log2		4	0.05844062742679368
500	log2	10.0	1	0.05973373362023815
500	log2	10.0	4	0.06050908405245736
500	log2	20.0	1	0.04166683706282859
500	log2	20.0	4	0.0602489000033396
500			1	0.007578779291226079
500			4	0.04476045719616584
500		10.0	1	0.0561363307669962
500		10.0	4	0.057766294439489996
500		20.0	1	0.035281155883972515
500		20.0	4	0.051327193876176125
