dorsolateral.prefrontal.cortex_astrocyte.of.the.cerebral.cortex	dorsolateral.prefrontal.cortex_oligodendrocyte.precursor.cell	lacrimal.gland_stromal.cell	angular.gyrus_near.projecting.glutamatergic.cortical.neuron	angular.gyrus_L6b.glutamatergic.cortical.neuron	dorsolateral.prefrontal.cortex_corticothalamic.projecting.glutamatergic.cortical.neuron	dorsolateral.prefrontal.cortex_L6b.glutamatergic.cortical.neuron	middle.temporal.gyrus_oligodendrocyte.precursor.cell	angular.gyrus_corticothalamic.projecting.glutamatergic.cortical.neuron	dorsolateral.prefrontal.cortex_near.projecting.glutamatergic.cortical.neuron	dorsolateral.prefrontal.cortex_vip.GABAergic.cortical.interneuron	angular.gyrus_oligodendrocyte.precursor.cell	dorsolateral.prefrontal.cortex_L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	middle.temporal.gyrus_vip.GABAergic.cortical.interneuron	angular.gyrus_astrocyte.of.the.cerebral.cortex	middle.temporal.gyrus_L6b.glutamatergic.cortical.neuron	angular.gyrus_caudal.ganglionic.eminence.derived.GABAergic.cortical.interneuron	angular.gyrus_vip.GABAergic.cortical.interneuron	middle.temporal.gyrus_astrocyte.of.the.cerebral.cortex	dorsolateral.prefrontal.cortex_lamp5.GABAergic.cortical.interneuron	angular.gyrus_L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	middle.temporal.gyrus_corticothalamic.projecting.glutamatergic.cortical.neuron	middle.temporal.gyrus_sncg.GABAergic.cortical.interneuron	lung_fibroblast	middle.temporal.gyrus_L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	angular.gyrus_sncg.GABAergic.cortical.interneuron	dorsolateral.prefrontal.cortex_chandelier.pvalb.GABAergic.cortical.interneuron	middle.temporal.gyrus_lamp5.GABAergic.cortical.interneuron	angular.gyrus_pvalb.GABAergic.cortical.interneuron	middle.temporal.gyrus_near.projecting.glutamatergic.cortical.neuron	middle.temporal.gyrus_pvalb.GABAergic.cortical.interneuron	angular.gyrus_sst.GABAergic.cortical.interneuron	dorsolateral.prefrontal.cortex_caudal.ganglionic.eminence.derived.GABAergic.cortical.interneuron	middle.temporal.gyrus_chandelier.pvalb.GABAergic.cortical.interneuron	middle.temporal.gyrus_L5.extratelencephalic.projecting.glutamatergic.cortical.neuron	middle.temporal.gyrus_sst.GABAergic.cortical.interneuron	dorsolateral.prefrontal.cortex_pvalb.GABAergic.cortical.interneuron	cardiac.atrium_fibroblast.of.cardiac.tissue	endocrine.pancreas_pancreatic.acinar.cell	muscle.tissue_mesenchymal.stem.cell	angular.gyrus_L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	angular.gyrus_chandelier.pvalb.GABAergic.cortical.interneuron	dorsolateral.prefrontal.cortex_L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	trachea_connective.tissue.cell	liver_T.cell	middle.temporal.gyrus_caudal.ganglionic.eminence.derived.GABAergic.cortical.interneuron	angular.gyrus_lamp5.GABAergic.cortical.interneuron	exocrine.pancreas_pancreatic.acinar.cell	middle.temporal.gyrus_cerebral.cortex.endothelial.cell	large.intestine_fibroblast	parotid.gland_fibroblast	sclera_keratocyte	liver_erythrocyte	dorsolateral.prefrontal.cortex_vascular.leptomeningeal.cell	disease
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
