tree_feature_importance	cell_tissue
0.057616999133492594	lacrimal.gland_stromal.cell
0.04381263636378335	liver_T.cell
0.03311330786189953	large.intestine_fibroblast
0.03042147247519921	trachea_connective.tissue.cell
0.02858866317169977	sclera_keratocyte
0.026167489804366523	cardiac.atrium_fibroblast.of.cardiac.tissue
0.023940621970601518	parotid.gland_fibroblast
0.023129759697336476	middle.temporal.gyrus_cerebral.cortex.endothelial.cell
0.02293292099245232	lung_fibroblast
0.021022710661976404	angular.gyrus_L5.extratelencephalic.projecting.glutamatergic.cortical.neuron
0.020767532161539492	muscle.tissue_mesenchymal.stem.cell
0.018725977170086512	dorsolateral.prefrontal.cortex_corticothalamic.projecting.glutamatergic.cortical.neuron
0.018716961685744632	dorsolateral.prefrontal.cortex_vascular.leptomeningeal.cell
0.018437473716735993	angular.gyrus_near.projecting.glutamatergic.cortical.neuron
0.018090251630758048	dorsolateral.prefrontal.cortex_L2.3.6.intratelencephalic.projecting.glutamatergic.neuron
0.01782190523070171	dorsolateral.prefrontal.cortex_L5.extratelencephalic.projecting.glutamatergic.cortical.neuron
0.01752641197108402	middle.temporal.gyrus_L2.3.6.intratelencephalic.projecting.glutamatergic.neuron
0.01743143945277647	dorsolateral.prefrontal.cortex_vip.GABAergic.cortical.interneuron
0.017191571650199848	middle.temporal.gyrus_sncg.GABAergic.cortical.interneuron
0.016917649158728402	middle.temporal.gyrus_L5.extratelencephalic.projecting.glutamatergic.cortical.neuron
0.01642635528318173	angular.gyrus_astrocyte.of.the.cerebral.cortex
0.016281578736144428	angular.gyrus_L2.3.6.intratelencephalic.projecting.glutamatergic.neuron
0.01616662692762274	dorsolateral.prefrontal.cortex_L6b.glutamatergic.cortical.neuron
0.016100987145487092	dorsolateral.prefrontal.cortex_oligodendrocyte.precursor.cell
0.016053129185347265	dorsolateral.prefrontal.cortex_pvalb.GABAergic.cortical.interneuron
0.016009473107834175	middle.temporal.gyrus_oligodendrocyte.precursor.cell
0.015949697080658475	angular.gyrus_corticothalamic.projecting.glutamatergic.cortical.neuron
0.01594662449770403	middle.temporal.gyrus_vip.GABAergic.cortical.interneuron
0.01586843071107654	angular.gyrus_lamp5.GABAergic.cortical.interneuron
0.015780692105423575	angular.gyrus_pvalb.GABAergic.cortical.interneuron
0.015525616909311275	middle.temporal.gyrus_caudal.ganglionic.eminence.derived.GABAergic.cortical.interneuron
0.01550435781193689	angular.gyrus_oligodendrocyte.precursor.cell
0.015496442056454883	angular.gyrus_vip.GABAergic.cortical.interneuron
0.015491780256032173	middle.temporal.gyrus_corticothalamic.projecting.glutamatergic.cortical.neuron
0.015286743296047615	dorsolateral.prefrontal.cortex_lamp5.GABAergic.cortical.interneuron
0.015161129283753952	liver_erythrocyte
0.015086424608765006	angular.gyrus_caudal.ganglionic.eminence.derived.GABAergic.cortical.interneuron
0.01505052360036976	angular.gyrus_chandelier.pvalb.GABAergic.cortical.interneuron
0.015031019569543122	angular.gyrus_sncg.GABAergic.cortical.interneuron
0.014978264345100878	middle.temporal.gyrus_L6b.glutamatergic.cortical.neuron
0.014941173052655084	dorsolateral.prefrontal.cortex_astrocyte.of.the.cerebral.cortex
0.014889855081837254	middle.temporal.gyrus_pvalb.GABAergic.cortical.interneuron
0.014876533364479026	angular.gyrus_L6b.glutamatergic.cortical.neuron
0.014819056568249927	dorsolateral.prefrontal.cortex_near.projecting.glutamatergic.cortical.neuron
0.014468661284448799	middle.temporal.gyrus_sst.GABAergic.cortical.interneuron
0.014466047834185902	middle.temporal.gyrus_chandelier.pvalb.GABAergic.cortical.interneuron
0.014402507860788517	angular.gyrus_sst.GABAergic.cortical.interneuron
0.014396026450780388	middle.temporal.gyrus_lamp5.GABAergic.cortical.interneuron
0.014111505905945558	middle.temporal.gyrus_near.projecting.glutamatergic.cortical.neuron
0.013880356743198834	dorsolateral.prefrontal.cortex_chandelier.pvalb.GABAergic.cortical.interneuron
0.013526631382777342	middle.temporal.gyrus_astrocyte.of.the.cerebral.cortex
0.01317961161724014	dorsolateral.prefrontal.cortex_caudal.ganglionic.eminence.derived.GABAergic.cortical.interneuron
0.011573942260491446	exocrine.pancreas_pancreatic.acinar.cell
0.01089843811396355	endocrine.pancreas_pancreatic.acinar.cell
