n_estimators	max_features	max_depth	min_sample_leaf	r2
100	sqrt		1	-0.0038454533652985123
100	sqrt		4	0.041657435050191594
100	sqrt	10.0	1	0.054927352904547866
100	sqrt	10.0	4	0.056801655164450016
100	sqrt	20.0	1	0.02563848478947628
100	sqrt	20.0	4	0.05013417788824692
100	log2		1	-0.003071342223397222
100	log2		4	0.04750161302030065
100	log2	10.0	1	0.05581346006770904
100	log2	10.0	4	0.05614452294449557
100	log2	20.0	1	0.031167222792897853
100	log2	20.0	4	0.043597787232236396
100			1	-0.0005879790734477641
100			4	0.02186038785415445
100		10.0	1	0.05237454426632138
100		10.0	4	0.05170981803019292
100		20.0	1	0.017570508129775453
100		20.0	4	0.028774849791269652
200	sqrt		1	0.010828370393055509
200	sqrt		4	0.05148908947947184
200	sqrt	10.0	1	0.05911480394434143
200	sqrt	10.0	4	0.060832611674568215
200	sqrt	20.0	1	0.03495342473717955
200	sqrt	20.0	4	0.053371018019919614
200	log2		1	0.013717735786723306
200	log2		4	0.055675767036616475
200	log2	10.0	1	0.059316059995344506
200	log2	10.0	4	0.05933607775784977
200	log2	20.0	1	0.03912736434972164
200	log2	20.0	4	0.05371460937954742
200			1	0.01068135690410188
200			4	0.03518343768931431
200		10.0	1	0.05758046695358199
200		10.0	4	0.05724772118274957
200		20.0	1	0.030000901211817754
200		20.0	4	0.04124858676780252
500	sqrt		1	0.017549603015092674
500	sqrt		4	0.055871882416413166
500	sqrt	10.0	1	0.061521098050700385
500	sqrt	10.0	4	0.062075354397983507
500	sqrt	20.0	1	0.04240655363708268
500	sqrt	20.0	4	0.05722867180790392
500	log2		1	0.02057279536362777
500	log2		4	0.06033620251159377
500	log2	10.0	1	0.0606963542742871
500	log2	10.0	4	0.060699583105261135
500	log2	20.0	1	0.042332658441985194
500	log2	20.0	4	0.059133543324958904
500			1	0.012963225467564565
500			4	0.03836370292439606
500		10.0	1	0.059705358565540934
500		10.0	4	0.05899490138369978
500		20.0	1	0.033097655513285695
500		20.0	4	0.044447098516661954
